,Name,Description,Designator,Part Number,Price,Qty
,C_0805_X7R_10%_100N-50V,"Condensateur céramique, X7R, 10%, CMS 0805","C1, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C28, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40","KYOCERA AVX 08055C104KAT2A, ",1.27472,33
,C_0805_X5R_10%_10U-16V,"Condensateur céramique, X5R, 10%, CMS 0805","C2, C4, C41",,,3
,C_0603_X7R_10%_10N-50V,"Condensateur céramique, X7R, 10%, CMS 0603",C3,KEMET C0603C103K5RACTU,0.25791,1
,C_0603_NPO_5%_18P-50V,"Condensateur céramique, NPO, 5%, CMS 0603, 18pF/50V","C25, C26","KEMET C0603C180J5GACTU, ",0.27087,2
,C_0603_NPO_5%_220pF-50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 220pF C0G 5%,C42,,,1
,SMF5V0A-GS08,"Diode Transil/TVS unidirectionnelle (A), 200W, 5V, CMS","D1, D2, D10, D11, D13, D14, D16, D17, D19, D20, D21, D22, D24, D25, D27, D31, D33, D35, D37, D38, D39, D42, D43",,,23
,GF1B,"Diode de Redressement, Vrrm=100V, If=1A, Vf=1.1V, CMS",D3,onsemi GF1B,2.20226,1
,BAT54C,"Diode Schottky double, BAT54 cathode com, Vrrm=30V, If=300mA, Vf=0.4Vmax, CMS","D4, D7, D8, D9, D12, D15, D18, D23, D26, D28, D29, D30, D32, D34, D36, D40, D41, D44","Nexperia BAT54C,215, ",4.6424,18
,PMEG2020AEA,"Diode Schottky, Vrrm=20V, If=2A, Vf=450V, CMS",D6,"Nexperia PMEG2020AEA,115",3.79212,1
,LED_0805_VERT_KP2012,"LED CMS 0805, Vert, Vf 2.5V@20mA (4-15mCd), 525nm, vue 120°",DL1,Kingbright KP-2012SGC,1.12468,1
,DOCUMENT_FAB_CARTE_SDFC,Document de Fabrication pour la Carte SC{Num SC}-{Version SC},DOC1,,,1
,EMIFIL_220P_25V/6A_NFE31PT221D1E9L,"Filtre EMI selfique-capacitif, -20/+50%, 25Vcc/6A, -40/+85°C, 220pF",FI1,,,1
,MICRO-MATE-N-LOK_WURTH_2X02_D,"Embase type Micro Mate-n-Lok, e3mm, 4pts, droit, cont. étamés 20mR, 250V/5A, Iso 1500V, -40/+105°C","J1, J2",,,2
,61202621621,"26 Positions Header, Shrouded Connector 0.100"" (2.54mm) Through Hole Gold",J3,Wurth Elektronik 61202621621,1.0128,1
,BRESS_CI_D_7.62_01_FFKDSA1/V2,"Bornier à connexion par ressorts/déconnexion par levier, série FFKDSA1/V2, e7.62, 1x1pts, droit, juxtaposable, 500V/17.5A, AWG22~16, Vert/Orange","J4, J9, J14, J17, J22, J25, J28, J31, J36, J41, J44, J49, J52, J57, J62, J67, J70, J75, J80, J85, J88, J91",,,22
,BRESS_CI_D_5.08_01_FFKDS/V2,"Bornier à connexion par ressorts/déconnexion par levier, série FFKDS/V2, e5.08, 1x1pts, droit, juxtaposable, 320V/15A, AWG22~16, Vert/Orange","J5, J7, J10, J12, J15, J20, J37, J39, J42, J47, J58, J60, J63, J65, J76, J78, J81, J83",,,18
