"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"MIR3","MIRE_PICK-N-PLACE_D1MM_VE3MM","10725mil","2750mil","10725mil","2750mil","10725mil","2750mil","T","0.00","MIRE_PICK-N-PLACE"
"MIR2","MIRE_PICK-N-PLACE_D1MM_VE3MM","-152.5mil","2760mil","-152.5mil","2760mil","-152.5mil","2760mil","T","0.00","MIRE_PICK-N-PLACE"
"MIR1","MIRE_PICK-N-PLACE_D1MM_VE3MM","0mil","0mil","0mil","0mil","0mil","0mil","T","0.00","MIRE_PICK-N-PLACE"
"VR4","VDR_Serie_820_d7_h13_e5mm","8475mil","330.63mil","8475mil","330.63mil","8444.291mil","232.205mil","T","90.00","VDR_820572711"
"VR3","VDR_Serie_820_d7_h13_e5mm","6475mil","330.63mil","6475mil","330.63mil","6444.291mil","232.205mil","T","90.00","VDR_820572711"
"VR2","VDR_Serie_820_d7_h13_e5mm","4075mil","330.63mil","4075mil","330.63mil","4044.291mil","232.205mil","T","90.00","VDR_820572711"
"VR1","VDR_Serie_820_d7_h13_e5mm","612.5mil","793.75mil","612.5mil","793.75mil","643.209mil","892.175mil","T","270.00","VDR_820572711"
"U6","SI943C_REV_A","6772.5mil","1426.378mil","6772.5mil","526.772mil","6772.5mil","684.252mil","T","90.00","SC943-0C"
"U8","SI943C_REV_A","8772.5mil","1426.378mil","8772.5mil","526.772mil","8772.5mil","684.252mil","T","90.00","SC943-0C"
"U2","SI943C_REV_A","852.953mil","1426.378mil","852.953mil","526.772mil","852.953mil","684.252mil","T","90.00","SC943-0C"
"U3","SI943C_REV_A","4372.5mil","1426.378mil","4372.5mil","526.772mil","4372.5mil","684.252mil","T","90.00","SC943-0C"
"C5","0805_ReflowSoldering_CAP","1095.25mil","2132.75mil","1095.25mil","2132.75mil","1095.25mil","2168.75mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C37","0805_ReflowSoldering_CAP","9014.797mil","2132.75mil","9014.797mil","2132.75mil","9014.797mil","2168.75mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C31","0805_ReflowSoldering_CAP","7014.797mil","2132.75mil","7014.797mil","2132.75mil","7014.797mil","2168.75mil","T","270.00","C_0805_X7R_10%_100N-50V"
"C17","0805_ReflowSoldering_CAP","4614.797mil","2132.75mil","4614.797mil","2132.75mil","4614.797mil","2168.75mil","T","270.00","C_0805_X7R_10%_100N-50V"
"L2","1206_ReflowSoldering_FERRITE","845mil","2687.5mil","845mil","2687.5mil","902.087mil","2687.5mil","T","180.00","IND_FERRITE_1206_74279218"
"L1","SELF_WE-TPC_4.8x4.78_(type4828)","932.5mil","2862.5mil","932.5mil","2862.5mil","1001.398mil","2862.5mil","T","180.00","SELF_10UH_1.19A_744043100"
"D4","SOT23_3L_ReflowSoldering","1188.75mil","2593.75mil","1188.75mil","2593.75mil","1150.364mil","2550.443mil","T","270.00","BAT54C"
"D6","SOD323_ReflowSoldering","1095mil","2912.5mil","1095mil","2912.5mil","1095mil","2958.76mil","T","90.00","PMEG2020AEA"
"C28","0805_ReflowSoldering_CAP","2808.949mil","2133.15mil","2808.949mil","2133.15mil","2808.949mil","2097.15mil","T","90.00","C_0805_X7R_10%_100N-50V"
"R52","0805_ReflowSoldering_RES","2900mil","2110mil","2900mil","2110mil","2900mil","2146mil","T","270.00","RES_0805_1%_100PPM_10K"
"R51","0805_ReflowSoldering_RES","3190mil","2110mil","3190mil","2110mil","3190mil","2146mil","T","270.00","RES_0805_1%_100PPM_10K"
"C30","0805_ReflowSoldering_CAP","6200mil","2075mil","6200mil","2075mil","6164mil","2075mil","T","360.00","C_0805_X7R_10%_100N-50V"
"Q1","QUARTZ_HC49_11.5X5_CMS","2440.199mil","2478.15mil","2440.199mil","2478.15mil","2440.199mil","2665.158mil","T","270.00","QUARTZ_HC49/4HSMX_20M"
"C25","0603_ReflowSoldering_CAP","2266.299mil","2659.97mil","2266.299mil","2659.97mil","2266.299mil","2633.57mil","T","90.00","C_0603_NPO_5%_18P-50V"
